INSTANCE,IP_OBJ
temp3,-6
22433,21477
23588,8090
10teams,924
30_70_45_095_100,3
30n20b8,302
50v-10,3311.179984123
a1c1s1,11503.444125
aflow30a,1158
aflow40b,1168
air01,6796
air02,7810
air03,340160
air04,56137
air05,26374
air06,49649
aligninq,2713
app1-2,-41
arki001,7580813.046
atlanta-ip,90.009878614
atm20-100,2463621.57727541
b2c1s1,25687.9
bab5,-106411.8401
bc1,3.338362548
beasleyC3,754
bell3a,878430.316
bell3b,11786160.618
bell4,18541484.238
bell5,8966406.492
berlin_5_8_0,62
bg512142,184202.75
biella1,3065005.78
bienst1,46.75
bienst2,54.6
binkar10_1,6742.200024
blend2,7.598985
bley_xl1,190
blp-ar98,6205.2147104
blp-ic97,4025.0235808
bm23,34
bnatt400,1
buildingenergy,33283.853236
cap6000,-2451380
co-100,2639942.06
core2536-691,689
cov1075,20
csched007,351
csched008,173
csched010,408
d10200,12430
dano3_3,576.344633
dano3_4,576.4352247
dano3_5,576.924916
danoint,65.666666667
dc1c,1767903.6501
dcmulti,188182
dfn-gwin-UUM,38752
dg012142,2300867
disctom,-5000
dolom1,6609253
ds,93.52
egout,568.1007
eil33-2,934.007916
eilA101-2,880.920108
eilB101,1216.920174
eild76,885.411847
enlight13,71
enlight15,69
ex10,100
ex9,81
fast0507,174
fiber,405935.18
fixnet3,51973
fixnet4,8936
fixnet6,3983
flugpl,1201500
g200x740i,30086
gen,112313.3627
germanrr,47095869.649
germany50-DBM,473840
gesa2,25779856.4
gesa2_o,25779856.372
gesa2-o,25779856.4
gesa3,27991042.648
gesa3_o,27991042.648
glass4,1200012600
gmu-35-40,-2406733.3688
gmu-35-50,-2607958.33
go19,84
gt2,21166
hanoi5,1931
harp2,-73899800
ic97_potential,3942
iis-100-0-cov,29
iis-bupa-cov,36
iis-pima-cov,33
in,58
irp,12159.492865
ivu52,481.0068
janos-us-DDM,1492707
k16x240,10674
khb05250,106940226
l152lav,4722
lectsched-4-obj,4
leo1,404227536.16
leo2,404077441.12
lotsize,1480195
lp4l,2967
lrn,44900000
lseu,1120
macrophage,374
manna81,-13164
map06,-289
map10,-495
map14,-674
map18,-847
map20,-922
markshare_5_0,1
markshare1,1
markshare2,1
mas074,11801.1857
mas076,40005.0541
mas284,91405.723682
maxgasflow,-44565819.31886
mc11,11689
