bell5_presolved,bound_gmic,bound_vpc,bound_all_cuts,num_gmic,gmic_gen_time,gmic_apply_time,num_vpc,vpc_gen_time,vpc_apply_time,
0,8951799.92812973260879516602,8951799.92812973260879516602,8951799.92812973260879516602,0,0.000000,0.000928,0,0.000000,0.000928,
1,8953821.66736270114779472351,8951799.92812973260879516602,8953821.66736270114779472351,10,0.00019899999999999999,0.00040899999999999997,0,0.00000000000000000000,0.00000000000000000000,
2,8955087.69593847356736660004,8951799.92812973260879516602,8955087.69593847356736660004,7,0.00007900000000000000,0.00038299999999999999,0,0.00000000000000000000,0.00000000000000000000,
3,8955239.67282168567180633545,8951799.92812973260879516602,8955239.67282168567180633545,7,0.00009999999999999999,0.00041599999999999992,0,0.00000000000000000000,0.00000000000000000000,
4,8955421.49267368763685226440,8951799.92812973260879516602,8955421.49267368763685226440,10,0.00012899999999999999,0.00039100000000000007,0,0.00000000000000000000,0.00000000000000000000,
5,8955642.01386028341948986053,8951799.92812973260879516602,8955642.01386028341948986053,8,0.00014000000000000004,0.00073100000000000010,0,0.00000000000000000000,0.00000000000000000000,
6,8955719.21424947120249271393,8951799.92812973260879516602,8955719.21424947120249271393,7,0.00017799999999999999,0.00070399999999999976,0,0.00000000000000000000,0.00000000000000000000,
7,8955774.72031509876251220703,8951799.92812973260879516602,8955774.72031509876251220703,8,0.00014399999999999992,0.00082899999999999988,0,0.00000000000000000000,0.00000000000000000000,
8,8955795.06591591425240039825,8951799.92812973260879516602,8955795.06591591425240039825,7,0.00014300000000000001,0.00050000000000000001,0,0.00000000000000000000,0.00000000000000000000,
9,8955807.47891225107014179230,8951799.92812973260879516602,8955807.47891225107014179230,9,0.00026399999999999991,0.00055499999999999994,0,0.00000000000000000000,0.00000000000000000000,
10,8955808.02402809821069240570,8951799.92812973260879516602,8955808.02402809821069240570,8,0.00019100000000000020,0.00055600000000000007,0,0.00000000000000000000,0.00000000000000000000,
11,8955810.75291218049824237823,8951799.92812973260879516602,8955810.75291218049824237823,10,0.00023599999999999988,0.00063799999999999968,0,0.00000000000000000000,0.00000000000000000000,
12,8955812.23851023614406585693,8951799.92812973260879516602,8955812.23851023614406585693,9,0.00019499999999999986,0.00125300000000000064,0,0.00000000000000000000,0.00000000000000000000,
13,8955820.72970781102776527405,8951799.92812973260879516602,8955820.72970781102776527405,10,0.00024300000000000016,0.00083699999999999920,0,0.00000000000000000000,0.00000000000000000000,
14,8955832.36019367165863513947,8951799.92812973260879516602,8955832.36019367165863513947,9,0.00021199999999999995,0.00077800000000000091,0,0.00000000000000000000,0.00000000000000000000,
15,8955841.33463232778012752533,8951799.92812973260879516602,8955841.33463232778012752533,8,0.00025799999999999998,0.00073999999999999934,0,0.00000000000000000000,0.00000000000000000000,
16,8955846.97848583571612834930,8951799.92812973260879516602,8955846.97848583571612834930,8,0.00037499999999999990,0.00087699999999999931,0,0.00000000000000000000,0.00000000000000000000,
17,8955848.48681288212537765503,8951799.92812973260879516602,8955848.48681288212537765503,9,0.00042699999999999986,0.00127700000000000036,0,0.00000000000000000000,0.00000000000000000000,
18,8955853.01645042560994625092,8951799.92812973260879516602,8955853.01645042560994625092,9,0.00022500000000000037,0.00090100000000000076,0,0.00000000000000000000,0.00000000000000000000,
19,8955854.15931590832769870758,8951799.92812973260879516602,8955854.15931590832769870758,8,0.00022499999999999951,0.00116799999999999890,0,0.00000000000000000000,0.00000000000000000000,
20,8955855.92537603899836540222,8951799.92812973260879516602,8955855.92537603899836540222,9,0.00024900000000000009,0.00116000000000000131,0,0.00000000000000000000,0.00000000000000000000,
21,8955857.98424933850765228271,8951799.92812973260879516602,8955857.98424933850765228271,9,0.00028100000000000000,0.00110699999999999861,0,0.00000000000000000000,0.00000000000000000000,
22,8955859.54668633081018924713,8951799.92812973260879516602,8955859.54668633081018924713,8,0.00036200000000000034,0.00128599999999999895,0,0.00000000000000000000,0.00000000000000000000,
23,8955862.29202033951878547668,8951799.92812973260879516602,8955862.29202033951878547668,7,0.00029799999999999965,0.00119300000000000309,0,0.00000000000000000000,0.00000000000000000000,
24,8955864.06222096085548400879,8951799.92812973260879516602,8955864.06222096085548400879,10,0.00037799999999999986,0.00140899999999999706,0,0.00000000000000000000,0.00000000000000000000,
25,8955867.70144891552627086639,8951799.92812973260879516602,8955867.70144891552627086639,10,0.00049100000000000012,0.00132700000000000179,0,0.00000000000000000000,0.00000000000000000000,
26,8955868.92604511603713035583,8951799.92812973260879516602,8955868.92604511603713035583,10,0.00033100000000000056,0.00143000000000000071,0,0.00000000000000000000,0.00000000000000000000,
27,8955870.29847042448818683624,8951799.92812973260879516602,8955870.29847042448818683624,9,0.00034199999999999942,0.00146699999999999955,0,0.00000000000000000000,0.00000000000000000000,
28,8955870.44559603743255138397,8951799.92812973260879516602,8955870.44559603743255138397,10,0.00040900000000000051,0.00121699999999999933,0,0.00000000000000000000,0.00000000000000000000,
29,8955870.56904112733900547028,8951799.92812973260879516602,8955870.56904112733900547028,10,0.00039599999999999965,0.00164500000000000063,0,0.00000000000000000000,0.00000000000000000000,
30,8955870.68367337808012962341,8951799.92812973260879516602,8955870.68367337808012962341,8,0.00032300000000000037,0.00146800000000000055,0,0.00000000000000000000,0.00000000000000000000,
31,8955870.96385051123797893524,8951799.92812973260879516602,8955870.96385051123797893524,7,0.00026699999999999988,0.00202599999999999655,0,0.00000000000000000000,0.00000000000000000000,
32,8955871.41884298808872699738,8951799.92812973260879516602,8955871.41884298808872699738,9,0.00043400000000000036,0.00296300000000000036,0,0.00000000000000000000,0.00000000000000000000,
33,8955871.52347771637141704559,8951799.92812973260879516602,8955871.52347771637141704559,8,0.00041499999999999870,0.00188400000000000373,0,0.00000000000000000000,0.00000000000000000000,
34,8955871.53459138981997966766,8951799.92812973260879516602,8955871.53459138981997966766,9,0.00047200000000000020,0.00225199999999999706,0,0.00000000000000000000,0.00000000000000000000,
35,8955871.74151581153273582458,8951799.92812973260879516602,8955871.74151581153273582458,10,0.00036399999999999974,0.00190300000000000191,0,0.00000000000000000000,0.00000000000000000000,
36,8955871.82348788902163505554,8951799.92812973260879516602,8955871.82348788902163505554,9,0.00035400000000000015,0.00342800000000000049,0,0.00000000000000000000,0.00000000000000000000,
37,8955872.33724055066704750061,8951799.92812973260879516602,8955872.33724055066704750061,8,0.00038100000000000113,0.00275899999999999757,0,0.00000000000000000000,0.00000000000000000000,
38,8955872.59098972566425800323,8951799.92812973260879516602,8955872.59098972566425800323,10,0.00057899999999999965,0.00244300000000000073,0,0.00000000000000000000,0.00000000000000000000,
39,8955872.70526706613600254059,8951799.92812973260879516602,8955872.70526706613600254059,9,0.00038700000000000019,0.00250000000000000222,0,0.00000000000000000000,0.00000000000000000000,
40,8955873.47200337611138820648,8951799.92812973260879516602,8955873.47200337611138820648,9,0.00039399999999999852,0.00269699999999999801,0,0.00000000000000000000,0.00000000000000000000,
41,8955874.74283089675009250641,8951799.92812973260879516602,8955874.74283089675009250641,9,0.00056600000000000053,0.00197800000000000059,0,0.00000000000000000000,0.00000000000000000000,
42,8955875.32181993126869201660,8951799.92812973260879516602,8955875.32181993126869201660,9,0.00039800000000000078,0.00251399999999999541,0,0.00000000000000000000,0.00000000000000000000,
43,8955875.59583348780870437622,8951799.92812973260879516602,8955875.59583348780870437622,8,0.00059199999999999878,0.00277300000000000463,0,0.00000000000000000000,0.00000000000000000000,
44,8955875.83687713555991649628,8951799.92812973260879516602,8955875.83687713555991649628,8,0.00051200000000000030,0.00243099999999999566,0,0.00000000000000000000,0.00000000000000000000,
45,8955875.94967114366590976715,8951799.92812973260879516602,8955875.94967114366590976715,9,0.00040800000000000038,0.00274900000000000144,0,0.00000000000000000000,0.00000000000000000000,
46,8955875.99177381210029125214,8951799.92812973260879516602,8955875.99177381210029125214,8,0.00040899999999999964,0.00233200000000000074,0,0.00000000000000000000,0.00000000000000000000,
47,8955876.03499288298189640045,8951799.92812973260879516602,8955876.03499288298189640045,9,0.00044300000000000068,0.00317099999999999327,0,0.00000000000000000000,0.00000000000000000000,
48,8955876.08610783144831657410,8951799.92812973260879516602,8955876.08610783144831657410,8,0.00068199999999999858,0.00239999999999999936,0,0.00000000000000000000,0.00000000000000000000,
49,8955876.50845234841108322144,8951799.92812973260879516602,8955876.50845234841108322144,8,0.00040400000000000158,0.00312400000000000178,0,0.00000000000000000000,0.00000000000000000000,
50,8955876.75716932490468025208,8951799.92812973260879516602,8955876.75716932490468025208,9,0.00051000000000000004,0.00286600000000000743,0,0.00000000000000000000,0.00000000000000000000,
51,8955877.17055792920291423798,8951799.92812973260879516602,8955877.17055792920291423798,9,0.00047600000000000073,0.00243000000000000160,0,0.00000000000000000000,0.00000000000000000000,
52,8955877.51094727590680122375,8951799.92812973260879516602,8955877.51094727590680122375,9,0.00052899999999999822,0.00280099999999999794,0,0.00000000000000000000,0.00000000000000000000,
53,8955877.62333015725016593933,8951799.92812973260879516602,8955877.62333015725016593933,8,0.00043200000000000183,0.00247799999999999410,0,0.00000000000000000000,0.00000000000000000000,
54,8955877.74638853222131729126,8951799.92812973260879516602,8955877.74638853222131729126,9,0.00049199999999999938,0.00347800000000000886,0,0.00000000000000000000,0.00000000000000000000,
55,8955877.87081692367792129517,8951799.92812973260879516602,8955877.87081692367792129517,10,0.00049399999999999791,0.00309399999999999953,0,0.00000000000000000000,0.00000000000000000000,
56,8955877.94598999992012977600,8951799.92812973260879516602,8955877.94598999992012977600,7,0.00063400000000000262,0.00275999999999999857,0,0.00000000000000000000,0.00000000000000000000,
57,8955878.04403391666710376740,8951799.92812973260879516602,8955878.04403391666710376740,9,0.00051599999999999910,0.00287300000000000055,0,0.00000000000000000000,0.00000000000000000000,
58,8955879.57989084720611572266,8951799.92812973260879516602,8955879.57989084720611572266,8,0.00051999999999999963,0.00308799999999999353,0,0.00000000000000000000,0.00000000000000000000,
59,8955880.35105119645595550537,8951799.92812973260879516602,8955880.35105119645595550537,9,0.00046900000000000067,0.00353299999999999448,0,0.00000000000000000000,0.00000000000000000000,
60,8955880.68688526190817356110,8951799.92812973260879516602,8955880.68688526190817356110,7,0.00058399999999999772,0.00253700000000001147,0,0.00000000000000000000,0.00000000000000000000,
61,8955880.80187216214835643768,8951799.92812973260879516602,8955880.80187216214835643768,7,0.00047700000000000173,0.00276200000000000057,0,0.00000000000000000000,0.00000000000000000000,
62,8955881.39786267094314098358,8951799.92812973260879516602,8955881.39786267094314098358,7,0.00051199999999999857,0.00277399999999999869,0,0.00000000000000000000,0.00000000000000000000,
63,8955881.74288026988506317139,8951799.92812973260879516602,8955881.74288026988506317139,9,0.00054700000000000235,0.00307699999999999640,0,0.00000000000000000000,0.00000000000000000000,
64,8955882.50959566980600357056,8951799.92812973260879516602,8955882.50959566980600357056,9,0.00055499999999999994,0.00329799999999999538,0,0.00000000000000000000,0.00000000000000000000,
65,8955882.98467829078435897827,8951799.92812973260879516602,8955882.98467829078435897827,7,0.00062199999999999755,0.00311600000000000765,0,0.00000000000000000000,0.00000000000000000000,
66,8955883.07857640087604522705,8951799.92812973260879516602,8955883.07857640087604522705,8,0.00054799999999999988,0.00295399999999998442,0,0.00000000000000000000,0.00000000000000000000,
67,8955883.20279339328408241272,8951799.92812973260879516602,8955883.20279339328408241272,7,0.00062500000000000056,0.00240800000000002123,0,0.00000000000000000000,0.00000000000000000000,
68,8955883.35100490599870681763,8951799.92812973260879516602,8955883.35100490599870681763,6,0.00053399999999999975,0.00297699999999997966,0,0.00000000000000000000,0.00000000000000000000,
69,8955883.58260783925652503967,8951799.92812973260879516602,8955883.58260783925652503967,7,0.00051800000000000110,0.00264100000000000446,0,0.00000000000000000000,0.00000000000000000000,
70,8955883.67087673023343086243,8951799.92812973260879516602,8955883.67087673023343086243,6,0.00060500000000000137,0.00325500000000000789,0,0.00000000000000000000,0.00000000000000000000,
71,8955883.72827601991593837738,8951799.92812973260879516602,8955883.72827601991593837738,9,0.00064899999999999680,0.00362599999999999034,0,0.00000000000000000000,0.00000000000000000000,
72,8955883.75266073457896709442,8951799.92812973260879516602,8955883.75266073457896709442,8,0.00069200000000000164,0.00365799999999999459,0,0.00000000000000000000,0.00000000000000000000,
73,8955884.41584041528403759003,8951799.92812973260879516602,8955884.41584041528403759003,9,0.00068999999999999964,0.00392600000000001281,0,0.00000000000000000000,0.00000000000000000000,
74,8955884.46903089061379432678,8951799.92812973260879516602,8955884.46903089061379432678,8,0.00059800000000000131,0.00416900000000000603,0,0.00000000000000000000,0.00000000000000000000,
75,8955884.68190896511077880859,8951799.92812973260879516602,8955884.68190896511077880859,7,0.00059199999999999878,0.00326599999999999113,0,0.00000000000000000000,0.00000000000000000000,
76,8955884.77729732170701026917,8951799.92812973260879516602,8955884.77729732170701026917,7,0.00082500000000000281,0.00373100000000001208,0,0.00000000000000000000,0.00000000000000000000,
77,8955884.81125512160360813141,8951799.92812973260879516602,8955884.81125512160360813141,9,0.00073899999999999660,0.00349900000000000211,0,0.00000000000000000000,0.00000000000000000000,
78,8955884.87636591866612434387,8951799.92812973260879516602,8955884.87636591866612434387,6,0.00064900000000000374,0.00384899999999999132,0,0.00000000000000000000,0.00000000000000000000,
79,8955885.22173566929996013641,8951799.92812973260879516602,8955885.22173566929996013641,10,0.00076199999999999879,0.00349199999999999511,0,0.00000000000000000000,0.00000000000000000000,
80,8955885.31183246523141860962,8951799.92812973260879516602,8955885.31183246523141860962,9,0.00084000000000000047,0.00352800000000000336,0,0.00000000000000000000,0.00000000000000000000,
81,8955885.44209243170917034149,8951799.92812973260879516602,8955885.44209243170917034149,9,0.00064099999999999574,0.00352800000000000336,0,0.00000000000000000000,0.00000000000000000000,
82,8955885.44758381322026252747,8951799.92812973260879516602,8955885.44758381322026252747,7,0.00064399999999999874,0.00439499999999998225,0,0.00000000000000000000,0.00000000000000000000,
83,8955885.53038959391415119171,8951799.92812973260879516602,8955885.53038959391415119171,8,0.00087100000000000372,0.00364100000000000534,0,0.00000000000000000000,0.00000000000000000000,
84,8955885.56174928881227970123,8951799.92812973260879516602,8955885.56174928881227970123,8,0.00077299999999999591,0.00341700000000000337,0,0.00000000000000000000,0.00000000000000000000,
85,8955885.56878460384905338287,8951799.92812973260879516602,8955885.56878460384905338287,7,0.00085500000000000159,0.00457199999999999274,0,0.00000000000000000000,0.00000000000000000000,
86,8955885.56885523535311222076,8951799.92812973260879516602,8955885.56885523535311222076,8,0.00100100000000000189,0.00415700000000002179,0,0.00000000000000000000,0.00000000000000000000,
87,8955885.62243172898888587952,8951799.92812973260879516602,8955885.62243172898888587952,8,0.00080000000000000210,0.00409299999999998554,0,0.00000000000000000000,0.00000000000000000000,
88,8955885.65052396245300769806,8951799.92812973260879516602,8955885.65052396245300769806,6,0.00093499999999999833,0.00455700000000000549,0,0.00000000000000000000,0.00000000000000000000,
89,8955885.68664561025798320770,8951799.92812973260879516602,8955885.68664561025798320770,10,0.00087500000000000078,0.00512699999999999267,0,0.00000000000000000000,0.00000000000000000000,
90,8955885.81247438676655292511,8951799.92812973260879516602,8955885.81247438676655292511,8,0.00066599999999999993,0.00481000000000000871,0,0.00000000000000000000,0.00000000000000000000,
91,8955885.84741785004734992981,8951799.92812973260879516602,8955885.84741785004734992981,8,0.00068499999999999811,0.00484099999999998420,0,0.00000000000000000000,0.00000000000000000000,
92,8955885.91513911075890064240,8951799.92812973260879516602,8955885.91513911075890064240,7,0.00080800000000000316,0.00472900000000001097,0,0.00000000000000000000,0.00000000000000000000,
93,8955886.26339961774647235870,8951799.92812973260879516602,8955886.26339961774647235870,8,0.00071699999999999542,0.00373299999999998633,0,0.00000000000000000000,0.00000000000000000000,
94,8955886.39844211563467979431,8951799.92812973260879516602,8955886.39844211563467979431,7,0.00100800000000000195,0.00488399999999999945,0,0.00000000000000000000,0.00000000000000000000,
95,8955886.92527858167886734009,8951799.92812973260879516602,8955886.92527858167886734009,7,0.00073499999999999954,0.00464200000000000723,0,0.00000000000000000000,0.00000000000000000000,
96,8955887.39208590239286422729,8951799.92812973260879516602,8955887.39208590239286422729,8,0.00073800000000000254,0.00547400000000000664,0,0.00000000000000000000,0.00000000000000000000,
97,8955888.15669575519859790802,8951799.92812973260879516602,8955888.15669575519859790802,7,0.00076899999999999885,0.00476500000000001922,0,0.00000000000000000000,0.00000000000000000000,
98,8955889.37002536095678806305,8951799.92812973260879516602,8955889.37002536095678806305,9,0.00076899999999999885,0.00463599999999997348,0,0.00000000000000000000,0.00000000000000000000,
99,8955889.83111851662397384644,8951799.92812973260879516602,8955889.83111851662397384644,9,0.00075999999999999679,0.00416400000000000103,0,0.00000000000000000000,0.00000000000000000000,
100,8955890.71337937191128730774,8951799.92812973260879516602,8955890.71337937191128730774,9,0.00075100000000000167,0.00469700000000000673,0,0.00000000000000000000,0.00000000000000000000,
