23588_presolved,bound_gmic,bound_vpc,bound_all_cuts,num_gmic,gmic_gen_time,gmic_apply_time,num_vpc,vpc_gen_time,vpc_apply_time,
0,7649.86613382250197901158,7649.86613382250197901158,7649.86613382250197901158,0,0.000000,0.002422,0,0.000000,0.002422,
1,7675.27431627028636285104,7700.47974476538183807861,7710.47213289580213313457,75,0.00283599999999999998,0.00949000000000000017,43,0.15640199999999998548,0.00587899999999999968,
2,7717.37134163150039967149,7722.56776256171906425152,7726.97006350522769935196,76,0.00457500000000000007,0.01592899999999999872,75,0.25925399999999998446,0.01343199999999999603,
3,7726.99999999922329152469,7731.19942071935929561732,7733.53312196615024731727,75,0.00656699999999999905,0.01423899999999999819,71,0.45941000000000004055,0.01961999999999999855,
4,7733.99999999922329152469,7735.60104632905131438747,7736.48736649392139952397,83,0.00997000000000000143,0.01150199999999999834,60,0.80488799999999993684,0.02417300000000000004,
5,7736.99999999923056748230,7746.88976126575835223775,7747.49769613573789683869,81,0.01202599999999999850,0.01881200000000000927,79,1.05228399999999977510,0.04959599999999997344,
6,7747.99999999923602445051,7768.17302821622524788836,7768.30388457054777973099,80,0.01498800000000000132,0.03130000000000000837,54,1.27997799999999983811,0.06002600000000002378,
7,7768.99999999920601112535,7775.90557401869955356233,7777.39113777756938361563,83,0.01654800000000000021,0.02824799999999998146,57,1.60420600000000046492,0.05833900000000014074,
8,7777.99999999922329152469,7779.52672793611964152660,7781.30145399373759573791,85,0.02011499999999999400,0.02362600000000000811,79,1.89695899999999983976,0.06370299999999984308,
9,7781.99999999922329152469,7782.81505639024817355676,7783.10127605800880701281,82,0.02254699999999999760,0.02015899999999998249,73,2.47111299999999989296,0.06737700000000002021,
10,7783.99999999915235093795,7783.15223636080008873250,7783.99999999914962245384,85,0.02497699999999999920,0.01611600000000001920,82,2.50972400000000028797,0.05688799999999982759,
11,7783.99999999915326043265,7784.98204035164144443115,7785.61202494519693573238,83,0.02703700000000000547,0.01817100000000002047,59,3.01094999999999934914,0.09846099999999990970,
12,7785.99999999923511495581,7786.13527604802311543608,7786.60718380122580128955,86,0.03055700000000000083,0.02214800000000000102,57,3.40717099999999994964,0.12790500000000015746,
13,7786.99999999923875293462,7788.80893413330704788677,7788.82653465137809689622,88,0.03411899999999998268,0.02578100000000002612,71,3.94830599999999876104,0.13883000000000000895,
14,7788.99999999924239091342,7793.75627330098359379917,7793.76384457425956497900,81,0.03317200000000000704,0.05193599999999998218,58,3.57591999999999998749,0.20429200000000058424,
15,7793.99999999923966242932,7796.07904829094422893832,7796.20317152410370908910,85,0.03663399999999999990,0.03865000000000001767,64,3.77190200000000075420,0.15491100000000024295,
16,7796.99999999919964466244,7797.94047836082609137520,7797.94734654244803095935,84,0.03776400000000001977,0.03041599999999999859,85,4.77353200000000299497,0.11963300000000032242,
17,7797.99999999924511939753,7798.84712650693836621940,7799.06597165621678868774,88,0.04276799999999997270,0.03536099999999997578,86,4.75217099999999703641,0.17731100000000044048,
18,7799.99999999911051418167,7801.12155074110069108428,7801.26465068445031647570,87,0.04595500000000002361,0.03599299999999999722,55,5.56487099999999657030,0.25006000000000039307,
19,7801.99999999921146809356,7802.89239224466837185901,7803.21816419622427929426,87,0.05042900000000000160,0.07446199999999997265,67,4.83014700000000374303,0.11404800000000037130,
20,7803.99999999920237314655,7803.88720697178359841928,7803.99999999920237314655,91,0.05370599999999992047,0.06262199999999995548,84,6.49880699999999933425,0.14310599999999951137,
21,7803.99999999920328264125,7804.31273847695956646930,7804.49311931983356771525,89,0.05412000000000005695,0.05373400000000005949,90,6.09241699999999752890,0.16792899999999910676,
22,7804.99999999923238647170,7804.92160598722875874955,7804.99999999923056748230,87,0.05674899999999993838,0.04353800000000007664,84,6.88277700000000436376,0.23430399999999984573,
23,7804.99999999923511495581,7805.00460502716850896832,7805.00915807168530591298,86,0.06136600000000003163,0.04280800000000006822,86,7.91939699999998936164,0.19077700000000064051,
24,7805.99999999815736373421,7806.03575253103099385044,7806.30284930077505123336,89,0.06729899999999999771,0.05420999999999998042,76,8.26753500000000940418,0.26573100000000060561,
25,7806.99999999922147253528,7806.32065112785767269088,7806.99999999922420101939,92,0.06918100000000004801,0.06199500000000002231,88,8.93992299999999318061,0.17436900000000044031,
26,7806.99999999921874405118,7807.71025710839330713497,7807.71025710840058309259,87,0.07398799999999994270,0.07887699999999997491,88,9.64592100000000129967,0.12816899999999975535,
27,7807.99999999923329596641,7807.71025710839330713497,7807.99999999923693394521,87,0.08209600000000005782,0.04836300000000004484,0,9.29881000000000312866,0.00000000000000000000,
