aligninq_presolved,bound_gmic,bound_vpc,bound_all_cuts,num_gmic,gmic_gen_time,gmic_apply_time,num_vpc,vpc_gen_time,vpc_apply_time,
0,2654.73680220533242390957,2654.73680220533242390957,2654.73680220533242390957,0,0.000000,0.016772,0,0.000000,0.016772,
1,2661.48867500129244945128,2671.03922647180161220604,2671.85472111670651429449,182,0.05362799999999999512,0.29877700000000001479,185,149.13512299999999299871,0.29801299999999997237,
2,2672.16015211941976303933,2672.18041119848794551217,2673.89659368571483355481,183,0.16706999999999999629,0.64061999999999996724,184,260.15021200000001044828,0.72284299999999990227,
3,2673.99999999971896613715,2674.10204858022825646913,2675.30413201460169148049,171,0.26214999999999999414,0.36238200000000009293,170,258.70909999999997808118,0.34964299999999948199,
4,2675.99999999969850250636,2675.35954288257426014752,2675.99999999969850250636,171,0.36321500000000001007,0.16867100000000001536,169,451.92005699999992884841,1.16313699999999986545,
5,2675.99999999969850250636,2676.23162410036729852436,2676.48851929332158761099,174,0.47929999999999983729,0.39671600000000006858,184,476.05697600000007696508,1.21508900000000075181,
6,2676.99999999970987119013,2676.31752527356411519577,2676.99999999971078068484,189,0.64233099999999998531,0.64282900000000009477,199,618.75403399999981957080,0.49555699999999802685,
7,2676.99999999970941644278,2676.79296631918259663507,2676.99999999971032593749,191,0.77421100000000020458,0.46719299999999996942,188,596.94597299999986717012,2.82880899999999968486,
8,2676.99999999970941644278,2677.08026237388094159542,2677.11875698381027177675,192,0.91515599999999963643,0.29784800000000011266,192,711.94028700000035314588,2.57166300000000092041,
9,2677.99999999965166352922,2677.24485535721714768442,2677.99999999965348251862,182,0.99021399999999992758,0.35550900000000007495,187,734.69495599999982005102,1.72086900000000042610,
10,2677.99999999965211827657,2677.82560672798945233808,2677.99999999965075403452,183,1.10761999999999982691,0.30667400000000011318,190,856.91358800000034534605,1.44922200000000600539,
11,2677.99999999965302777127,2677.82798667961651517544,2677.99999999965120878187,182,1.20797400000000010323,0.19575299999999984379,189,868.16723000000001775334,0.85097000000000377895,
12,2677.99999999965120878187,2677.82966727311531940359,2677.99999999965348251862,179,1.32938900000000082002,0.54978700000000024772,182,847.37804499999947438482,0.85975400000000234968,
13,2677.99999999965211827657,2677.83482099695356737357,2677.99999999965348251862,176,1.44055299999999952831,0.33124300000000062028,178,896.47877799999969283817,2.32926700000000153068,
