mas284_presolved,bound_gmic,bound_vpc,bound_all_cuts,num_gmic,gmic_gen_time,gmic_apply_time,num_vpc,vpc_gen_time,vpc_apply_time,total time gmic,total time vpc
0,86195.86303,86195.86303,86195.86303,0,0,0.003407,0,0,0.003407,0.003407,0.003407
1,86241.00223,86195.86303,86241.00223,20,0.000743,0.00335,0,0,0,0.0075,0.003407
2,86268.08236,86195.86303,86268.08236,20,0.000675,0.002701,0,0,0,0.010876,0.003407
3,86273.66246,86195.86303,86273.66246,23,0.000885,0.001777,0,0,0,0.013538,0.003407
4,86277.16423,86195.86303,86277.16423,22,0.000863,0.002594,0,0,0,0.016995,0.003407
5,86289.89333,86195.86303,86289.89333,23,0.000965,0.002725,0,0,0,0.020685,0.003407
6,86303.17262,86195.86303,86303.17262,21,0.000937,0.002218,0,0,0,0.02384,0.003407
7,86309.51771,86195.86303,86309.51771,21,0.001018,0.003431,0,0,0,0.028289,0.003407
8,86313.58985,86195.86303,86313.58985,20,0.001027,0.002795,0,0,0,0.032111,0.003407
9,86316.26948,86195.86303,86316.26948,21,0.001151,0.002902,0,0,0,0.036164,0.003407
10,86316.88794,86195.86303,86316.88794,20,0.00117,0.005743,0,0,0,0.043077,0.003407
11,86319.10571,86195.86303,86319.10571,21,0.001272,0.003739,0,0,0,0.048088,0.003407
12,86320.17493,86195.86303,86320.17493,21,0.00133,0.005979,0,0,0,0.055397,0.003407
13,86321.32164,86195.86303,86321.32164,22,0.002059,0.005393,0,0,0,0.062849,0.003407
14,86321.38668,86195.86303,86321.38668,22,0.001541,0.006262,0,0,0,0.070652,0.003407
15,86321.81273,86195.86303,86321.81273,20,0.001527,0.006009,0,0,0,0.078188,0.003407
16,86321.95769,86195.86303,86321.95769,23,0.001746,0.005347,0,0,0,0.085281,0.003407
17,86322.14821,86195.86303,86322.14821,20,0.001575,0.006672,0,0,0,0.093528,0.003407
18,86322.44329,86195.86303,86322.44329,23,0.001902,0.007095,0,0,0,0.102525,0.003407
19,86322.55708,86195.86303,86322.55708,22,0.001911,0.007002,0,0,0,0.111438,0.003407
20,86322.64519,86195.86303,86322.64519,22,0.001959,0.00733,0,0,0,0.120727,0.003407
21,86322.74435,86195.86303,86322.74435,21,0.002004,0.00739,0,0,0,0.130121,0.003407
22,86322.88431,86195.86303,86322.88431,20,0.001975,0.006102,0,0,0,0.138198,0.003407
23,86322.97514,86195.86303,86322.97514,23,0.002333,0.008372,0,0,0,0.148903,0.003407
24,86323.28475,86195.86303,86323.28475,21,0.002146,0.005855,0,0,0,0.156904,0.003407
25,86323.59935,86195.86303,86323.59935,21,0.0023,0.010046,0,0,0,0.16925,0.003407
26,86323.85486,86195.86303,86323.85486,21,0.002292,0.008669,0,0,0,0.180211,0.003407
27,86324.21258,86195.86303,86324.21258,21,0.002394,0.009508,0,0,0,0.192113,0.003407
28,86324.42331,86195.86303,86324.42331,21,0.002485,0.010013,0,0,0,0.204611,0.003407
29,86324.62889,86195.86303,86324.62889,22,0.002655,0.010231,0,0,0,0.217497,0.003407
30,86324.84451,86195.86303,86324.84451,22,0.002708,0.013248,0,0,0,0.233453,0.003407
31,86325.21793,86195.86303,86325.21793,21,0.0027,0.010627,0,0,0,0.24678,0.003407
32,86325.35954,86195.86303,86325.35954,20,0.002639,0.012046,0,0,0,0.261465,0.003407
33,86325.54328,86195.86303,86325.54328,24,0.003203,0.013128,0,0,0,0.277796,0.003407
34,86325.77296,86195.86303,86325.77296,22,0.003067,0.012999,0,0,0,0.293862,0.003407
35,86325.88295,86195.86303,86325.88295,21,0.002986,0.01656,0,0,0,0.313408,0.003407
36,86325.90172,86195.86303,86325.90172,22,0.003173,0.013267,0,0,0,0.329848,0.003407
37,86325.93841,86195.86303,86325.93841,21,0.003096,0.012902,0,0,0,0.345846,0.003407
38,86325.95582,86195.86303,86325.95582,22,0.003342,0.014501,0,0,0,0.363689,0.003407
39,86325.98171,86195.86303,86325.98171,21,0.00323,0.012511,0,0,0,0.37943,0.003407
40,86326.01263,86195.86303,86326.01263,21,0.003683,0.014208,0,0,0,0.397321,0.003407
41,86326.0361,86195.86303,86326.0361,22,0.003565,0.014437,0,0,0,0.415323,0.003407
42,86326.04471,86195.86303,86326.04471,23,0.003803,0.016761,0,0,0,0.435887,0.003407
43,86326.07669,86195.86303,86326.07669,22,0.003704,0.014653,0,0,0,0.454244,0.003407
44,86326.11212,86195.86303,86326.11212,23,0.00384,0.0178,0,0,0,0.475884,0.003407
45,86326.12422,86195.86303,86326.12422,20,0.003585,0.01653,0,0,0,0.495999,0.003407
46,86326.14612,86195.86303,86326.14612,21,0.00372,0.019515,0,0,0,0.519234,0.003407
47,86326.16025,86195.86303,86326.16025,20,0.003721,0.016611,0,0,0,0.539566,0.003407
48,86326.17932,86195.86303,86326.17932,22,0.004059,0.015151,0,0,0,0.558776,0.003407
49,86326.21075,86195.86303,86326.21075,20,0.003764,0.019472,0,0,0,0.582012,0.003407
50,86326.22425,86195.86303,86326.22425,23,0.004392,0.019632,0,0,0,0.606036,0.003407
51,86326.22842,86195.86303,86326.22842,22,0.004259,0.02122,0,0,0,0.631515,0.003407
52,86326.23073,86195.86303,86326.23073,23,0.004552,0.017983,0,0,0,0.65405,0.003407
53,86326.23368,86195.86303,86326.23368,23,0.004606,0.020611,0,0,0,0.679267,0.003407
54,86326.2366,86195.86303,86326.2366,22,0.004481,0.021201,0,0,0,0.704949,0.003407
55,86326.24342,86195.86303,86326.24342,22,0.00461,0.022563,0,0,0,0.732122,0.003407
56,86326.24951,86195.86303,86326.24951,23,0.004782,0.019032,0,0,0,0.755936,0.003407
57,86326.25513,86195.86303,86326.25513,23,0.004976,0.021096,0,0,0,0.782008,0.003407
58,86326.26064,86195.86303,86326.26064,22,0.004985,0.026116,0,0,0,0.813109,0.003407
59,86326.26666,86195.86303,86326.26666,21,0.004739,0.027685,0,0,0,0.845533,0.003407
60,86326.26809,86195.86303,86326.26809,22,0.00502,0.018142,0,0,0,0.868695,0.003407
61,86326.26989,86195.86303,86326.26989,22,0.005153,0.022008,0,0,0,0.895856,0.003407
62,86326.27193,86195.86303,86326.27193,22,0.005225,0.025775,0,0,0,0.926856,0.003407
63,86326.27284,86195.86303,86326.27284,22,0.005242,0.028401,0,0,0,0.960499,0.003407
64,86326.27327,86195.86303,86326.27327,21,0.005152,0.02011,0,0,0,0.985761,0.003407
65,86326.27396,86195.86303,86326.27396,24,0.005799,0.031352,0,0,0,1.022912,0.003407
66,86326.27435,86195.86303,86326.27435,21,0.005254,0.019012,0,0,0,1.047178,0.003407
67,86326.27468,86195.86303,86326.27468,21,0.005315,0.032685,0,0,0,1.085178,0.003407
68,86326.27515,86195.86303,86326.27515,22,0.005565,0.039443,0,0,0,1.130186,0.003407
69,86326.27496,86195.86303,86326.27496,23,0.005932,0.037172,0,0,0,1.17329,0.003407
70,86326.27516,86195.86303,86326.27516,24,0.006293,0.036603,0,0,0,1.216186,0.003407
71,86326.2752,86195.86303,86326.2752,23,0.006157,0.042891,0,0,0,1.265234,0.003407
72,86326.27539,86195.86303,86326.27539,22,0.005983,0.050343,0,0,0,1.32156,0.003407
73,86326.27532,86195.86303,86326.27532,23,0.006273,0.047102,0,0,0,1.374935,0.003407
74,86326.27551,86195.86303,86326.27551,23,0.006494,0.037184,0,0,0,1.418613,0.003407
75,86326.2757,86195.86303,86326.2757,21,0.005971,0.068618,0,0,0,1.493202,0.003407
76,86326.27574,86195.86303,86326.27574,22,0.006345,0.033397,0,0,0,1.532944,0.003407
77,86326.2759,86195.86303,86326.2759,22,0.006491,0.038001,0,0,0,1.577436,0.003407
78,86326.27595,86195.86303,86326.27595,22,0.006467,0.047592,0,0,0,1.631495,0.003407
79,86326.276,86195.86303,86326.276,21,0.006235,0.034005,0,0,0,1.671735,0.003407
80,86326.27618,86195.86303,86326.27618,23,0.006877,0.041935,0,0,0,1.720547,0.003407
81,86326.27641,86195.86303,86326.27641,24,0.007145,0.034936,0,0,0,1.762628,0.003407
82,86326.27661,86195.86303,86326.27661,23,0.006939,0.037833,0,0,0,1.8074,0.003407
83,86326.27688,86195.86303,86326.27688,24,0.007361,0.05094,0,0,0,1.865701,0.003407
84,86326.2767,86195.86303,86326.2767,20,0.006226,0.042624,0,0,0,1.914551,0.003407
85,86326.27682,86195.86303,86326.27682,23,0.00718,0.028736,0,0,0,1.950467,0.003407
86,86326.27682,86195.86303,86326.27682,23,0.007333,0.073303,0,0,0,2.031103,0.003407
87,86326.27686,86195.86303,86326.27686,23,0.007515,0.084637,0,0,0,2.123255,0.003407
88,86326.27687,86195.86303,86326.27687,24,0.008002,0.075976,0,0,0,2.207233,0.003407
89,86326.27701,86195.86303,86326.27701,22,0.007226,0.09677,0,0,0,2.311229,0.003407
90,86326.27718,86195.86303,86326.27718,20,0.006783,0.03639,0,0,0,2.354402,0.003407
