mas284_presolved,bound_gmic,bound_vpc,bound_all_cuts,num_gmic,gmic_gen_time,gmic_apply_time,num_vpc,vpc_gen_time,vpc_apply_time,
0,86195.86302781110862269998,86195.86302781110862269998,86195.86302781110862269998,0,0.000000,0.003530,0,0.000000,0.003530,
1,86241.00222966415458358824,86401.31494441644463222474,86401.31494441640097647905,20,0.00068399999999999993,0.00332299999999999957,20,0.07783899999999999153,0.00250099999999999975,
2,86449.94861255900468677282,86592.96583222267508972436,86592.96583222260233014822,21,0.00076599999999999997,0.00218099999999999978,25,0.12766099999999999670,0.00244000000000000033,
3,86548.14025413895433302969,86658.41015957648050971329,86662.43939563313324470073,22,0.00096100000000000005,0.00321600000000000011,24,0.12971999999999997422,0.00297500000000000195,
4,86626.40439534730103332549,86759.65745256714581046253,86759.65745256711670663208,25,0.00124799999999999998,0.00337299999999999926,26,0.17329099999999997284,0.00434599999999999917,
5,86737.93029310184647329152,86803.56320349009183701128,86803.56320349006273318082,26,0.00148299999999999994,0.00328600000000000073,26,0.15911200000000003119,0.00421300000000000147,
6,86782.22265721483563538641,86817.33784472153638489544,86827.91839338539284653962,25,0.00160499999999999966,0.00387799999999999950,26,0.24321700000000001651,0.00283100000000000018,
7,86792.05145215055381413549,86841.69496118789538741112,86842.22855013875232543796,23,0.00169300000000000006,0.00264099999999999752,22,0.28651299999999990664,0.00508000000000000118,
8,86830.18987181232660077512,86863.25630701782938558608,86865.37137265094497706741,24,0.00195999999999999994,0.00476999999999999993,27,0.36329400000000000581,0.00626800000000000967,
9,86832.96962894883472472429,86870.93868647012277506292,86872.54274598130723461509,29,0.00258500000000000049,0.00295899999999999982,29,0.40949600000000008215,0.00570799999999999086,
10,86838.16099284248775802553,86897.57595972625131253153,86897.57595972625131253153,27,0.00255499999999999998,0.00520400000000000029,33,0.54241499999999986947,0.01332099999999999951,
11,86862.92320849907991942018,86920.14117930109205190092,86920.14117930109205190092,30,0.00314099999999999970,0.01000099999999999600,29,0.54268699999999991945,0.01330200000000003602,
12,86887.95505694297025911510,86942.47726469118788372725,86942.62342731107491999865,29,0.00332199999999999857,0.00967099999999999904,29,0.57584699999999999775,0.01034499999999999309,
