,PARAM INFO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOUND INFO,,,,,,,,,,,GAP INFO,,,,BB INFO,,,,,,,,ORIG PROB,,,,,,,,,,,,,POST-CUT PROB,,,,,,,,,,DISJ INFO,,,,,,,,,,,,CUT INFO,,,,,,,,,,OBJ INFO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAIL INFO,,,,,,,,,,,,,,,,,,,,FULL BB INFO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIME INFO,,,,,VERSION INFO,,,,,WRAP UP INFO,,,,END
INSTANCE,cutlimit,disj_terms,gomory,mode,partial_bb_strategy,partial_bb_num_strong,preprocess,prlp_flip_beta,rounds,strengthen,temp,use_all_ones,use_disj_lb,use_iter_bilinear,use_tight_points,use_tight_rays,use_unit_vectors,verbosity,random_seed,bb_runs,bb_strategy,bb_mode,bb_timelimit,eps,ip_obj,min_orthogonality,partial_bb_timelimit,prlp_timelimit,timelimit,LP OBJ,BEST DISJ OBJ,WORST DISJ OBJ,IP OBJ,NUM GMIC,GMIC OBJ,NUM L&PC,L&PC OBJ,NUM VPC,VPC OBJ,VPC+GMIC OBJ,GMIC % GAP CLOSED,L&PC % GAP CLOSED,VPC % GAP CLOSED,GMIC+VPC % GAP CLOSED,FIRST REF NODES,FIRST REF+V NODES,BEST REF NODES,BEST REF+V NODES,FIRST REF TIME,FIRST REF+V TIME,BEST REF TIME,BEST REF+V TIME,ROWS,COLS,NUM FRAC,MIN FRACTIONALITY,MAX FRACTIONALITY,EQ ROWS,BOUND ROWS,ASSIGN ROWS,FIXED COLS,GEN INT,BINARY,CONTINUOUS,A-DENSITY,NEW NUM FRAC,NEW MIN FRACTIONALITY,NEW MAX FRACTIONALITY,NEW A-DENSITY,ACTIVE GMIC (gmics),ACTIVE VPC (gmics),ACTIVE GMIC (vpcs),ACTIVE VPC (vpcs),ACTIVE GMIC (all cuts),ACTIVE VPC (all cuts),NUM DISJ TERMS,NUM INTEGER SOL,NUM DISJ,AVG DENSITY PRLP,AVG ROWS PRLP,AVG COLS PRLP,AVG POINTS PRLP,AVG RAYS PRLP,AVG PARTIAL BB EXPLORED NODES,AVG PARTIAL BB PRUNED NODES,AVG PARTIAL BB MIN DEPTH,AVG PARTIAL BB MAX DEPTH,NUM ROUNDS,NUM CUTS,NUM ONE SIDED CUTS,NUM OPTIMALITY CUTS,MIN SUPPORT VPC,MAX SUPPORT VPC,AVG SUPPORT VPC,MIN SUPPORT GOMORY,MAX SUPPORT GOMORY,AVG SUPPORT GOMORY,NUM OBJ,NUM OBJ DUMMY_OBJ,NUM CUTS DUMMY_OBJ,NUM FAILS DUMMY_OBJ,NUM ACTIVE DUMMY_OBJ,NUM OBJ ALL_ONES,NUM CUTS ALL_ONES,NUM FAILS ALL_ONES,NUM ACTIVE ALL_ONES,NUM OBJ CUT_VERTICES,NUM CUTS CUT_VERTICES,NUM FAILS CUT_VERTICES,NUM ACTIVE CUT_VERTICES,NUM OBJ ITER_BILINEAR,NUM CUTS ITER_BILINEAR,NUM FAILS ITER_BILINEAR,NUM ACTIVE ITER_BILINEAR,NUM OBJ UNIT_VECTORS,NUM CUTS UNIT_VECTORS,NUM FAILS UNIT_VECTORS,NUM ACTIVE UNIT_VECTORS,NUM OBJ DISJ_LB,NUM CUTS DISJ_LB,NUM FAILS DISJ_LB,NUM ACTIVE DISJ_LB,NUM OBJ TIGHT_POINTS,NUM CUTS TIGHT_POINTS,NUM FAILS TIGHT_POINTS,NUM ACTIVE TIGHT_POINTS,NUM OBJ TIGHT_RAYS,NUM CUTS TIGHT_RAYS,NUM FAILS TIGHT_RAYS,NUM ACTIVE TIGHT_RAYS,NUM OBJ TIGHT_POINTS2,NUM CUTS TIGHT_POINTS2,NUM FAILS TIGHT_POINTS2,NUM ACTIVE TIGHT_POINTS2,NUM OBJ TIGHT_RAYS2,NUM CUTS TIGHT_RAYS2,NUM FAILS TIGHT_RAYS2,NUM ACTIVE TIGHT_RAYS2,NUM OBJ USER,NUM CUTS USER,NUM FAILS USER,NUM ACTIVE USER,NUM OBJ OBJ_CUT,NUM CUTS OBJ_CUT,NUM FAILS OBJ_CUT,NUM ACTIVE OBJ_CUT,NUM OBJ ONE_SIDED,NUM CUTS ONE_SIDED,NUM FAILS ONE_SIDED,NUM ACTIVE ONE_SIDED,NUM FAILS,ABANDONED,BAD_DYNAMISM,BAD_SUPPORT,BAD_VIOLATION,CUT_LIMIT,DUAL_INFEASIBLE,DUPLICATE_SIC,DUPLICATE_VPC,ITERATION_LIMIT,ORTHOGONALITY_SIC,ORTHOGONALITY_VPC,PRIMAL_INFEASIBLE,TIME_LIMIT,NUMERICAL_ISSUES_WARNING,DLB_EQUALS_DUB_NO_OBJ,DLB_EQUALS_LPOPT_NO_OBJ,PRIMAL_INFEASIBLE_NO_OBJ,NUMERICAL_ISSUES_NO_OBJ,UNKNOWN,FIRST REF OBJ,FIRST REF+V OBJ,BEST REF OBJ,BEST REF+V OBJ,AVG REF OBJ,AVG REF+V OBJ,FIRST REF BOUND,FIRST REF+V BOUND,BEST REF BOUND,BEST REF+V BOUND,AVG REF BOUND,AVG REF+V BOUND,FIRST REF ITERS,FIRST REF+V ITERS,BEST REF ITERS,BEST REF+V ITERS,AVG REF ITERS,AVG REF+V ITERS,FIRST REF NODES,FIRST REF+V NODES,BEST REF NODES,BEST REF+V NODES,AVG REF NODES,AVG REF+V NODES,FIRST REF ROOT_PASSES,FIRST REF+V ROOT_PASSES,BEST REF ROOT_PASSES,BEST REF+V ROOT_PASSES,AVG REF ROOT_PASSES,AVG REF+V ROOT_PASSES,FIRST REF FIRST_CUT_PASS,FIRST REF+V FIRST_CUT_PASS,BEST REF FIRST_CUT_PASS,BEST REF+V FIRST_CUT_PASS,AVG REF FIRST_CUT_PASS,AVG REF+V FIRST_CUT_PASS,FIRST REF LAST_CUT_PASS,FIRST REF+V LAST_CUT_PASS,BEST REF LAST_CUT_PASS,BEST REF+V LAST_CUT_PASS,AVG REF LAST_CUT_PASS,AVG REF+V LAST_CUT_PASS,FIRST REF ROOT_ITERS,FIRST REF+V ROOT_ITERS,BEST REF ROOT_ITERS,BEST REF+V ROOT_ITERS,AVG REF ROOT_ITERS,AVG REF+V ROOT_ITERS,FIRST REF ROOT_TIME,FIRST REF+V ROOT_TIME,BEST REF ROOT_TIME,BEST REF+V ROOT_TIME,AVG REF ROOT_TIME,AVG REF+V ROOT_TIME,FIRST REF LAST_SOL_TIME,FIRST REF+V LAST_SOL_TIME,BEST REF LAST_SOL_TIME,BEST REF+V LAST_SOL_TIME,AVG REF LAST_SOL_TIME,AVG REF+V LAST_SOL_TIME,FIRST REF TIME,FIRST REF+V TIME,BEST REF TIME,BEST REF+V TIME,AVG REF TIME,AVG REF+V TIME,ALL REF OBJ,ALL REF BOUND,ALL REF ITERS,ALL REF NODES,ALL REF ROOT_PASSES,ALL REF FIRST_CUT_PASS,ALL REF LAST_CUT_PASS,ALL REF ROOT_ITERS,ALL REF ROOT_TIME,ALL REF LAST_SOL_TIME,ALL REF TIME,ALL REF+V OBJ,ALL REF+V BOUND,ALL REF+V ITERS,ALL REF+V NODES,ALL REF+V ROOT_PASSES,ALL REF+V FIRST_CUT_PASS,ALL REF+V LAST_CUT_PASS,ALL REF+V ROOT_ITERS,ALL REF+V ROOT_TIME,ALL REF+V LAST_SOL_TIME,ALL REF+V TIME,INIT_SOLVE_TIME,VPC_GEN_TIME,VPC_APPLY_TIME,BB_TIME,TOTAL_TIME,vpc_version,cbc_version,clp_version,gurobi_version,cplex_version,ExitReason,end_time_string,time elapsed,instname,
22433_presolved,-1,2,-1,0,4,5,0,0,1,1,0,1,1,1,0,0,0,0,628,1,536,10,3.60E+03,1.00E-07,2.15E+04,0.00E+00,3.60E+03,-1.00E+00,3.60E+03,21240.52617,21326.54568,21334.18078,21477,89,21288.29876,0,,55,21295.96956,21302.06994,20.20206,,23.445888,26.025616,0,10,0,10,0,0.256,0,0.256,198,232,90,0.02479,0.47383,1,0,0,0,1,231,0,0.069902,113,0.03044,0.49141,0.268161,10,0,0,6,5,4,2,0,1,0.093945,462,231,2,460,1,0,1,1,1,55,1,0,1,232,227.8,221,231,230.045,57,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,55,54,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21477,0,21477,0,21477,0,21475,0,21475,0,21475,0,1514,0,1514,0,1514,0,10,0,10,0,10,0,18,0,18,0,18,0,21332.2569,0,21332.2569,0,21332.2569,0,21412.2493,0,21412.2493,0,21412.2493,0,1053,0,1053,0,1053,0,0.246,0,0.246,0,0.246,0,0.187,0,0.187,0,0.187,0,0.256,0,0.256,0,0.256,,,,,,,,,,,,21477,21475,1514,10,18,21332.25691,21412.2493,1053,0.246307,0.187298,0.256371,0.01,0.32,0.03,0.27,0.63,#fc3db01,#0152c5f,#8bd9396,9.11,20.1.0,SUCCESS,Sat Jun 26 14:14:11 2021,1,22433_presolved,DONE
23588_presolved,-1,2,-1,0,4,5,0,0,1,1,0,1,1,1,0,0,0,0,628,1,536,10,3.60E+03,1.00E-07,8.09E+03,0.00E+00,3.60E+03,-1.00E+00,3.60E+03,7649.866134,7746.197749,7750.336051,8090,74,7675.274316,0,,34,7733.131694,7738.088428,5.772831,,18.918235,20.044423,0,788,0,788,0,0.745,0,0.745,137,237,75,0.00537,0.48035,6,0,0,0,6,231,0,0.109951,80,0.00858,0.47804,0.284132,15,0,0,20,4,20,2,0,1,0.0803012,462,232,2,460,1,0,1,1,1,34,0,0,233,235,233.676,233,234,233.973,38,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,37,33,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8090,0,8090,0,8090,0,8090,0,8090,0,8090,0,14805,0,14805,0,14805,0,788,0,788,0,788,0,19,0,19,0,19,0,7753.043475,0,7753.043475,0,7753.043475,0,7784,0,7784,0,7784,0,513,0,513,0,513,0,0.234,0,0.234,0,0.234,0,0.674,0,0.674,0,0.674,0,0.745,0,0.745,0,0.745,,,,,,,,,,,,8090,8090,14805,788,19,7753.043475,7784,513,0.234342,0.673818,0.745128,0,0.32,0.02,0.76,1.11,#fc3db01,#0152c5f,#8bd9396,9.11,20.1.0,SUCCESS,Sat Jun 26 14:14:11 2021,1,23588_presolved,DONE
10teams_presolved,-1,2,-1,0,4,5,0,0,1,1,0,1,1,1,0,0,0,0,628,1,536,10,3.60E+03,1.00E-07,9.24E+02,0.00E+00,3.60E+03,-1.00E+00,3.60E+03,917,917,924,924,153,924,0,,74,917,924,100,,0,100,0,1235,0,1235,0,13.946,0,13.946,210,1600,160,0.00422,0.5,120,0,0,0,0,1600,0,0.028571,162,0.00099,0.5,0.063022,4,1,0,72,4,1,2,0,1,0.0317159,2980,1490,2,2978,1,0,1,1,1,74,0,0,129,1472,257.257,120,1587,1539.928,133,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,131,73,58,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,1,0,58,0,0,0,0,0,0,0,1,0,0,0,0,924,0,924,0,924,0,924,0,924,0,924,0,111331,0,111331,0,111331,0,1235,0,1235,0,1235,0,9,0,9,0,9,0,924,0,924,0,924,0,924,0,924,0,924,0,9781,0,9781,0,9781,0,0.834,0,0.834,0,0.834,0,13.945,0,13.945,0,13.945,0,13.946,0,13.946,0,13.946,,,,,,,,,,,,924,924,111331,1235,9,924,924,9781,0.833938,13.945006,13.945744,0.05,13.02,0.04,13.98,27.11,#fc3db01,#0152c5f,#8bd9396,9.11,20.1.0,SUCCESS,Sat Jun 26 14:14:37 2021,27,10teams_presolved,DONE
30n20b8_presolved,-1,2,-1,0,4,5,0,0,1,1,0,1,1,1,0,0,0,0,628,1,536,10,3.60E+03,1.00E-07,3.02E+02,0.00E+00,3.60E+03,-1.00E+00,3.60E+03,124.1229959,124.1420842,144.8855092,302,187,144.6028901,0,,190,124.1418189,144.6028901,11.513514,,0.010582,11.513514,0,1536,0,1536,0,55.957,0,55.957,387,4191,190,0.00119,0.49776,77,0,0,0,49,4142,0,0.021758,201,0.00099,0.49831,0.330864,8,0,0,5,8,0,2,0,1,0.0111276,8181,4110,2,8179,1,0,1,1,1,190,0,0,3890,4133,4025.305,4059,4143,4134.604,192,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,190,189,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,302,0,302,0,302,0,302,0,302,0,462710,0,462710,0,462710,0,1536,0,1536,0,1536,0,70,0,70,0,70,0,126.4581661,0,126.4581661,0,126.4581661,0,170.6001013,0,170.6001013,0,170.6001013,0,35991,0,35991,0,35991,0,10.488,0,10.488,0,10.488,0,4.167,0,4.167,0,4.167,0,55.957,0,55.957,0,55.957,,,,,,,,,,,,302,302,462710,1536,70,126.458166,170.600101,35991,10.487555,4.166642,55.957142,0.14,96.05,1.4,56.24,153.91,#fc3db01,#0152c5f,#8bd9396,9.11,20.1.0,CUT_LIMIT,Sat Jun 26 14:16:44 2021,154,30n20b8_presolved,DONE
50v-10_presolved,-1,2,-1,0,4,5,0,0,1,1,0,1,1,1,0,0,0,0,628,1,536,10,3.60E+03,1.00E-07,3.31E+03,0.00E+00,3.60E+03,-1.00E+00,3.60E+03,2879.065687,2884.065687,3054.89902,3311.179984,29,3076.773518,0,,10,2884.065687,3076.773518,45.753596,,1.157101,45.753596,0,770511,0,770511,0,3600,0,3600,233,2013,29,0.06019,0.48611,50,0,0,0,183,1464,366,0.005853,29,0.06019,0.48611,0.007045,27,10,0,10,27,10,2,0,1,0.0296053,152,76,2,150,1,0,1,1,1,10,0,0,41,74,70.1,44,642,196.655,42,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,40,8,32,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,3313.179979,0,3313.179979,0,3313.179979,0,3302.708482,0,3302.708482,0,3302.708482,0,52388944,0,52388944,0,52388944,0,770511,0,770511,0,770511,0,12,0,12,0,12,0,3098.846899,0,3098.846899,0,3098.846899,0,3190.665822,0,3190.665822,0,3190.665822,0,1249,0,1249,0,1249,0,0.489,0,0.489,0,0.489,0,3374.437,0,3374.437,0,3374.437,0,3600,0,3600,0,3600,,,,,,,,,,,,3313.179979,3302.708482,52388944,770511,12,3098.846899,3190.665822,1249,0.488726,3374.436716,3600.000242,0.02,0.24,0,3608.07,3608.34,#fc3db01,#0152c5f,#8bd9396,9.11,20.1.0,SUCCESS,Sat Jun 26 15:14:11 2021,3601,50v-10_presolved,DONE
a1c1s1_presolved,-1,2,-1,0,4,5,0,0,1,1,0,1,1,1,0,0,0,0,628,1,536,10,3.60E+03,1.00E-07,1.15E+04,0.00E+00,3.60E+03,-1.00E+00,3.60E+03,4649.667605,4713.958434,4792.661546,11503.44413,154,6370.007595,0,,15,4713.958434,6388.98448,25.100614,,0.938035,25.377496,0,44317,0,44317,0,1716.588,0,1716.588,1876,2489,155,0.00417,0.48525,1075,0,0,0,0,192,2297,0.001553,154,0.00417,0.48075,0.001665,106,1,1,15,105,1,2,0,1,0.00807284,359,324,2,357,1,0,1,1,1,15,0,0,26,108,39.267,2,291,27.234,20,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,14,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11503.44412,0,11503.44412,0,11503.44412,0,11502.39718,0,11502.39718,0,11502.39718,0,7489559,0,7489559,0,7489559,0,44317,0,44317,0,44317,0,26,0,26,0,26,0,7875.934528,0,7875.934528,0,7875.934528,0,10725.5411,0,10725.5411,0,10725.5411,0,6831,0,6831,0,6831,0,1.876,0,1.876,0,1.876,0,694.771,0,694.771,0,694.771,0,1716.588,0,1716.588,0,1716.588,,,,,,,,,,,,11503.44412,11502.39718,7489559,44317,26,7875.934528,10725.5411,6831,1.875796,694.771037,1716.587783,0.03,0.49,0.01,1720.42,1720.97,#fc3db01,#0152c5f,#8bd9396,9.11,20.1.0,SUCCESS,Sat Jun 26 14:42:47 2021,1717,a1c1s1_presolved,DONE
a2c1s1_presolved,-1,2,-1,0,4,5,0,0,1,1,0,1,1,1,0,0,0,0,628,1,536,10,3.60E+03,1.00E-07,1.09E+04,0.00E+00,3.60E+03,-1.00E+00,3.60E+03,4110.346758,4157.635591,4241.305686,10889.13763,157,5788.978029,0,,17,4147.727586,5788.978029,24.762989,,0.551438,24.762989,0,25586,0,25586,0,861.579,0,861.579,1856,2459,159,0.00208,0.5,1058,0,0,0,0,192,2267,0.001573,159,0.00208,0.5,0.002024,120,0,1,7,120,0,2,0,1,0.00778874,521,397,2,519,1,0,1,1,1,17,0,0,45,254,126.059,2,282,23.268,21,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,17,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10889.13763,0,10889.13763,0,10889.13763,0,10888.04922,0,10888.04922,0,10888.04922,0,3978564,0,3978564,0,3978564,0,25586,0,25586,0,25586,0,27,0,27,0,27,0,7175.703023,0,7175.703023,0,7175.703023,0,10279.6423,0,10279.6423,0,10279.6423,0,6461,0,6461,0,6461,0,1.788,0,1.788,0,1.788,0,82.056,0,82.056,0,82.056,0,861.579,0,861.579,0,861.579,,,,,,,,,,,,10889.13763,10888.04922,3978564,25586,27,7175.703023,10279.6423,6461,1.788032,82.056223,861.5788,0.02,0.53,0.02,863.53,864.11,#fc3db01,#0152c5f,#8bd9396,9.11,20.1.0,SUCCESS,Sat Jun 26 14:28:32 2021,862,a2c1s1_presolved,DONE
aflow30a_presolved,-1,2,-1,0,4,5,0,0,1,1,0,1,1,1,0,0,0,0,628,1,536,10,3.60E+03,1.00E-07,1.16E+03,0.00E+00,3.60E+03,-1.00E+00,3.60E+03,983.1674253,989.2620199,993.2586381,1158,25,1012.076441,0,,25,988.7511746,1013.290972,16.535257,,3.193769,17.22994,0,2192,0,2192,0,4.115,0,4.115,449,812,25,0.01042,0.46341,29,0,0,0,0,392,420,0.005571,26,0.01042,0.42105,0.021967,19,0,0,25,19,23,2,0,1,0.00534716,850,499,2,848,1,0,1,1,1,25,0,0,237,282,256.96,34,314,115.64,27,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,25,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1158,0,1158,0,1158,0,1158,0,1158,0,1158,0,76437,0,76437,0,76437,0,2192,0,2192,0,2192,0,37,0,37,0,37,0,1035.373791,0,1035.373791,0,1035.373791,0,1102.4396,0,1102.4396,0,1102.4396,0,2525,0,2525,0,2525,0,0.424,0,0.424,0,0.424,0,0.8,0,0.8,0,0.8,0,4.115,0,4.115,0,4.115,,,,,,,,,,,,1158,1158,76437,2192,37,1035.373791,1102.4396,2525,0.42351,0.799889,4.114766,0.01,0.15,0.01,4.13,4.3,#fc3db01,#0152c5f,#8bd9396,9.11,20.1.0,CUT_LIMIT,Sat Jun 26 14:14:14 2021,4,aflow30a_presolved,DONE
aflow40b_presolved,-1,2,-1,0,4,5,0,0,1,1,0,1,1,1,0,0,0,0,628,1,536,10,3.60E+03,1.00E-07,1.17E+03,0.00E+00,3.60E+03,-1.00E+00,3.60E+03,1005.681635,1012.270058,1017.186419,1168,34,1025.157422,0,,36,1012.270058,1025.430693,11.998511,,4.058951,12.166866,0,42757,0,42757,0,305.499,0,305.499,1401,2687,36,0.0028,0.45,39,0,0,0,0,1325,1362,0.00178,38,0.0028,0.45473,0.002858,16,0,0,36,14,29,2,0,1,0.00145864,3382,1884,2,3380,1,0,1,1,1,36,0,0,64,359,120.444,101,1544,565.059,38,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,36,36,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1168,0,1168,0,1168,0,1168,0,1168,0,1168,0,3655213,0,3655213,0,3655213,0,42757,0,42757,0,42757,0,24,0,24,0,24,0,1056.777001,0,1056.777001,0,1056.777001,0,1096.892588,0,1096.892588,0,1096.892588,0,5786,0,5786,0,5786,0,1.475,0,1.475,0,1.475,0,26.769,0,26.769,0,26.769,0,305.499,0,305.499,0,305.499,,,,,,,,,,,,1168,1168,3655213,42757,24,1056.777001,1096.892588,5786,1.475349,26.768745,305.499005,0.05,0.93,0.01,306.11,307.11,#fc3db01,#0152c5f,#8bd9396,9.11,20.1.0,CUT_LIMIT,Sat Jun 26 14:19:17 2021,307,aflow40b_presolved,DONE
